indice,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,franja
1,308133,290444,316399,294835,338653,335923,271425,284950,297199,304610,330689,349928,384262,369837,360424,359341,336325,328778,310946,270572,276001,244376,240383,100
2,244429,282368,299952,231079,242283,246075,201520,210585,227213,233060,244875,254077,267525,263879,269745,270013,248893,233521,210956,194006,200752,186871,183528,300
3,236520,236189,227675,205049,218790,216922,178091,180400,198954,203549,204015,216329,227742,230155,235644,242355,226109,210252,180277,170422,164307,155482,153284,500
4,214001,208714,221233,207106,221556,220535,185531,184288,200068,206959,199341,207509,219984,217609,228211,242164,208225,192375,172495,164014,157221,149360,143610,700
5,208735,199220,196705,182838,199391,194035,159865,156527,177922,193215,180983,183304,204015,202091,214043,214446,191359,186405,164155,164394,146657,139655,134841,900
6,208769,199717,189430,183829,192759,191057,158159,155345,172578,175903,168099,173915,185092,182606,184812,188223,165605,165252,158403,156012,142014,134279,124162,1100
7,180407,179349,185644,176687,183935,177762,163100,153650,168438,163437,160497,166093,173066,171276,173156,177524,156510,151966,140806,145871,132031,130587,124488,1300
8,171522,169485,170292,162187,172761,171351,155609,154141,167504,161086,166452,167867,171427,174140,173249,173245,157282,147826,138081,149294,129395,122041,116781,1500
9,158235,157144,155232,154795,161347,156085,142846,138998,153915,148197,154389,157418,159981,163995,159677,162498,152666,144570,136466,148476,134502,118030,111701,1700
10,152688,152989,151586,147182,159972,155303,136840,132544,144634,142214,141086,146677,150961,157007,151617,148527,141215,134969,126977,138285,124902,116177,110124,1900
11,150343,149775,150206,144203,152892,146289,132540,131599,142201,136156,135835,137649,139207,144266,140107,140332,136311,129823,121147,133046,124581,110827,104209,2100
12,142989,142655,141224,141405,151730,146434,133634,131049,143436,142873,142706,135645,139553,146481,139689,140946,133825,126255,117265,128014,120065,107977,99471,2300
13,136171,137252,141687,133583,143738,138435,126327,124228,132870,129612,129676,127866,130643,139609,133830,133295,137548,130025,121413,127864,120533,106894,100714,2500
14,130558,132502,131946,131624,143697,134668,125172,123178,130033,127220,126058,124294,124135,130297,124720,126129,123714,122012,113224,128966,121032,104329,97049,2700
15,125885,131680,128211,151445,163591,169495,151222,145569,141257,123432,122373,119099,120675,125285,123085,120800,122818,115571,108993,127544,111601,99798,95486,2900
16,127106,128896,130281,124008,134213,129828,119049,119637,126345,123683,122060,120412,121974,127353,123104,122847,123192,117363,113492,128620,108243,99066,95833,3100
17,120714,122162,121175,122456,128933,125362,115973,114073,122013,120811,120764,115909,115731,121626,116892,117320,117293,114582,109906,127973,109738,95532,88917,3300
18,115453,118627,116663,116190,127715,120188,111335,114690,118649,116755,117399,111394,112018,115920,114519,114787,115014,116196,105690,124647,107909,98165,90830,3500
19,119047,120510,119459,117650,126156,123959,112308,113328,118862,116149,116085,112277,113281,117343,116868,114834,115228,111761,106525,122473,104601,97345,92999,3700
20,113459,115861,114348,113694,121689,117111,111147,109068,113221,111883,111765,107527,108095,112124,114414,111256,110906,108436,103315,120832,101961,92953,90267,3900
21,111621,113878,113262,110379,119883,116955,109474,108922,112069,110674,110281,105798,105891,109331,108589,108733,110528,107166,101965,117663,101492,91646,88176,4100
22,115021,116375,114925,113000,119404,115730,109030,111707,113255,109775,110354,104504,105096,107787,107123,108302,108585,106722,102177,116720,100734,90797,86523,4300
23,116716,117381,112897,111850,118931,114327,108446,107742,108546,111730,110472,105670,104574,109945,110700,114735,108871,105923,99594,116697,100452,90310,86591,4500
24,112075,115020,115232,109918,116462,113426,106244,105868,105483,105564,103017,99208,98015,102742,104024,108062,105015,102190,97960,112033,97248,88536,84126,4700
25,113504,115596,113055,113163,117650,112315,110105,109340,106245,104438,104593,99942,98725,105093,106439,106662,111730,103446,97778,112848,97064,88406,83604,4900
26,113288,113737,113218,110898,118823,112945,107975,106603,106411,103429,103033,97773,96992,101632,102472,103760,106209,105726,96224,109787,95835,86515,83037,5100
27,113611,114211,111628,111165,118743,112621,106619,107412,105473,102604,103051,96046,94783,98475,99207,100994,104334,101799,95524,108334,94441,85856,80374,5300
28,116017,118178,116058,112680,118504,114234,109600,106456,104902,101213,101659,95894,95289,99349,99978,100998,104128,100911,94673,108094,94427,85277,79532,5500
29,113098,114782,116078,112341,117803,115094,109197,106649,102816,100127,99678,95475,94140,97870,98974,100867,105307,100957,93071,107407,92553,83932,79399,5700
30,112576,112828,112433,111602,116602,112427,110355,106409,101678,98411,97878,94545,94715,98866,98510,99580,104615,98648,93051,106350,91650,82681,77915,5900
31,129422,128015,115881,115033,122476,115996,112279,111323,105937,101838,101841,98028,99016,108618,108643,110736,109203,104914,98065,109545,95437,85658,82105,6100
32,116424,117531,124842,111703,118388,116190,109482,109187,103752,100442,97656,92980,91212,93942,96313,98420,102060,100025,105667,105268,92266,82149,78403,6300
33,117875,117705,114608,113702,117527,115992,111534,106884,105063,98971,97182,93723,91493,94918,97762,99600,102888,101906,102998,104983,92136,82127,77593,6500
34,117316,118760,117854,122043,116147,115073,111506,108274,101479,98845,98407,94352,93039,95510,97513,99452,101576,99974,99864,111599,103163,83671,78474,6700
35,111282,115150,111954,113521,116465,112498,111453,108133,100799,97569,95048,91946,90304,93080,96747,99224,100851,99862,98827,106056,98738,90100,77175,6900
36,111725,114584,113526,113799,127831,114287,110220,109053,102154,98997,96587,94499,92336,94666,97543,99441,102350,100370,99409,104534,97898,93561,78359,7100
37,126968,127489,127837,124090,129659,121181,119057,116530,106986,103617,102550,99317,97712,99653,102652,104856,108122,106096,104845,107321,100397,94046,81239,7300
38,116564,115408,114629,114946,121109,128355,110869,108886,101941,98623,97842,93112,91967,94875,99040,100714,103202,100332,99139,102137,99077,90060,95515,7500
39,110923,113058,114758,114267,119322,116732,110458,107013,98862,95230,97660,93966,93326,96980,100278,101768,104542,104225,99156,102360,96933,90428,86787,7700
40,116740,115299,115445,113400,118469,115880,123880,106968,98254,96087,95038,92049,90986,95292,98741,102335,103836,103270,101995,102529,99138,91224,88267,7900
41,120467,117143,111784,112136,116360,116201,112935,106341,97659,93845,94238,91403,88714,92057,97356,99926,101865,103163,100423,102221,98396,90147,86477,8100
42,121303,116410,113755,111865,116261,112615,111454,106381,94639,90925,90668,87535,87163,90052,94729,97814,100771,100460,98636,101993,98627,91156,85439,8300
43,135893,123623,119964,116866,119639,119076,117875,122450,100411,93547,94337,90740,90215,93593,98442,100895,106062,104150,101130,102663,99893,91988,89511,8500
44,132067,129725,120619,118313,117569,116489,113524,106694,105687,91714,88495,85691,85510,88742,93667,96846,99105,99764,98569,99152,96798,90626,85918,8700
45,129752,127348,121606,114037,118979,117822,114145,107850,95593,101682,100040,94871,84737,89109,94931,97226,99336,101406,98345,99369,96559,89511,85082,8900
46,142559,139241,129891,125989,124675,123366,119603,114030,98804,95203,95117,92087,99341,104124,111213,114646,104998,105208,101289,103689,99004,93232,88944,9100
47,138601,134420,126345,120876,122040,126978,115846,107861,96683,90481,88324,84830,83318,87216,92264,96848,98211,99266,98294,100312,97532,90727,85214,9300
48,140781,134846,127605,120205,118797,122919,118231,108623,94039,90580,86949,82975,80849,85074,90589,95557,96582,99300,100899,99309,96272,90673,87436,9500
49,144918,142978,138214,127879,123319,123761,130819,114350,99887,93236,93518,89670,88266,92518,99007,101809,103667,103204,102553,101982,98564,92822,89279,9700
50,147837,140793,136485,132219,127112,123444,124028,114281,98838,93035,89489,85123,82441,86397,91081,97297,113376,99548,98997,101552,96226,89830,86394,9900
51,154156,145721,138667,134643,130172,127317,125585,117413,99930,92606,89833,84707,83031,86132,91101,95395,99893,99609,98006,100277,98058,89909,86735,10100
52,157229,147891,137380,132179,128770,125984,122266,115695,101509,95365,93743,87440,84699,88634,94962,97711,102050,118303,97657,100479,96771,90119,86486,10300
53,160511,153442,139731,137887,133866,130707,124234,122502,102671,98431,95416,88668,83979,86929,92765,98853,102627,105579,97824,102115,96799,95431,86069,10500
54,163233,158304,141800,136370,132612,130555,124097,113319,101177,94827,92335,87929,82925,85573,91281,95689,101207,101858,96399,100319,95172,90709,85868,10700
55,181214,174137,159306,153793,145268,142137,137614,121584,109639,103542,99235,94778,90663,95731,101476,102895,106956,108681,103049,104566,98024,94250,88000,10900
56,168508,167786,152708,147412,138733,135787,132594,115514,103616,95273,94762,89864,86571,88843,93473,100671,102801,106808,99444,103264,97809,92758,86206,11100
57,167647,171029,158774,148810,141657,140079,134572,121197,103856,97077,93915,87699,84587,88563,95205,99554,105803,105445,98581,103950,96099,92817,93564,11300
58,163355,173448,164599,155759,146492,140286,135508,121650,103670,101629,95969,88698,85220,88487,95543,99577,106239,111433,100086,104786,97890,94145,89937,11500
59,164795,169726,166160,161059,149239,143361,139685,122771,105517,103281,98639,90477,85022,86772,93805,99007,104146,108438,98899,103899,97683,94252,89286,11700
60,160320,164769,173038,165418,151737,145699,143128,123631,104311,102931,99075,93620,86886,87620,94107,98442,104398,108586,99067,103595,95531,94389,90123,11900
61,157383,168550,171626,176056,166686,157972,153650,138660,118846,113717,111320,108589,108202,111684,117188,120137,124213,125928,115728,114845,107399,105331,103000,12100
62,155274,162192,165632,166538,161592,150051,145942,128803,110865,102863,97492,91180,89428,93353,102426,107247,107610,110404,103500,102465,96855,96337,91428,12300
63,149648,155300,160751,165199,167892,157396,149410,132757,111740,105536,96484,91653,88150,88874,97488,107634,111267,111493,112718,100337,95425,95227,90835,12500
64,155150,160662,170128,173710,177077,166176,157874,132509,116561,112352,103902,95497,91309,93230,99116,103220,116321,117088,177362,103745,98856,97389,93069,12700
65,147044,153084,160153,161963,164346,160656,155813,131361,114700,106183,102206,94366,87805,90096,95155,102606,107715,120506,126212,102895,99433,96715,93473,12900
66,136093,150005,154066,161560,167399,162944,158909,132603,113207,105585,101532,96606,89944,90450,97387,101404,108219,114181,126747,105895,101891,97367,91646,13100
67,130935,147501,154046,161823,165224,168665,164042,137708,119140,114401,109160,101328,95861,97961,104020,109401,113990,118409,134739,154569,160778,101369,95619,13300
68,125568,138543,152714,159113,162789,169026,162530,139750,118483,111782,104951,98950,91600,91762,100507,105374,109995,113962,128234,114461,124845,101658,93454,13500
69,121378,130627,147419,149151,161444,168749,162954,138618,119878,111449,104192,98336,90870,92643,97463,104764,111001,113113,120372,111236,117581,104100,94440,13700
70,119842,127709,143106,153903,157896,164510,163694,141984,120061,115169,106940,101816,94570,95189,99607,103655,112573,117697,124244,111909,122049,154908,95309,13900
71,116411,124445,139337,149571,155376,164974,162760,145247,126311,119330,112297,105141,99325,98584,104775,110500,116483,119969,126081,114075,128507,154522,97567,14100
72,111769,121204,131164,145980,151903,163961,163081,141712,122530,116770,108752,102877,94022,94344,99767,104544,110036,115280,120566,111132,120071,132776,94670,14300
73,116959,125742,133464,149349,164097,171879,173121,152677,131966,122281,120058,115416,106370,104307,109280,113733,121485,127499,131757,116243,124873,139144,103422,14500
74,104369,113313,124664,132967,152385,155380,160338,145393,124676,116408,110101,109748,98807,98361,104899,107541,113400,118127,124105,111604,119753,134348,101766,14700
75,99622,109941,119801,128810,145247,152635,163225,145553,126558,121139,111600,110167,97482,97759,102370,106555,111952,116469,125418,109010,116383,132556,111809,14900
76,100852,109115,121558,127977,146579,159818,165408,148463,129649,124890,116293,113582,105648,103002,107229,113094,119648,124225,129730,110970,120298,133850,222951,15100
