indice,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,franja
1,642480,601273,634176,601999,699774,759494,602569,595875,594751,643529,720427,746601,811664,785423,752606,782752,726629,756499,720638,639218,647531,591815,512845,100
2,1434010,1373142,1403697,1312051,1436705,1535100,1196917,1321472,1305560,1383638,1546097,1587634,1687384,1722275,1745460,1796164,1713666,1526297,1413438,1276688,1309961,1218576,1113179,300
3,2271731,2152298,2076472,2151334,2137996,2208515,1801080,1820409,1940641,2027785,2117012,2260343,2394120,2421334,2543811,2721100,2563065,2264368,1958937,1842793,1856951,1632911,1459047,500
4,2761998,2716128,2684737,2622350,2875553,2998680,2472627,2400364,2619664,2726532,2815342,2897958,3114219,3091215,3466632,3929482,3068105,2668097,2547735,2435286,2354394,2046635,1818150,700
5,3396991,3318194,3240456,3127548,3424597,3551132,2946851,2825198,3143617,3348385,3402180,3390590,3699152,3643909,3997962,4317653,3631265,3296454,3073687,3059387,2910903,2510489,2283765,900
6,3995329,3982347,3898385,3855370,4185376,4317643,3558524,3374644,3676535,3811384,3885572,3930780,4132307,4014449,4074099,4354115,3678172,3479432,3486591,3522050,3245470,2778768,2499006,1100
7,4353304,4411206,4419389,4364266,4792579,4870595,4207077,4025782,4418772,4438913,4505001,4646996,4754284,4549553,4648711,4962771,4159689,3909326,3783415,3979930,3651617,3170356,2871513,1300
8,4822355,4923182,4892962,4807332,5253888,5411868,4751527,4581213,5014856,5065334,5189493,5272021,5391359,5197526,5382368,5310931,4687595,4347404,4195948,4622085,4171887,3478842,3253382,1500
9,5177418,5348423,5237673,5304022,5710416,5813060,5122531,4882565,5418996,5366293,5625822,5728253,5741764,5559026,5432152,5512423,5106779,4741394,4536951,5050006,4613608,3840244,3445130,1700
10,5766031,5959987,5832608,5777002,6404232,6471839,5646373,5416303,5886165,5897240,5966434,6222273,6253700,6162673,5833312,5808115,5467522,5119173,4888529,5452141,5039189,4190893,3780666,1900
11,6307944,6511363,6433500,6298738,6946376,7034646,6208208,6040802,6431219,6340937,6373333,6649221,6596922,6445783,6025807,6101143,5946052,5506743,5277096,5812682,5428597,4563201,4087572,2100
12,6662461,6940400,6834350,6915936,7772919,7907282,7143559,6775562,7196912,7316887,7341341,7161009,7164702,7055908,6548541,6669394,6347226,5920391,5590445,6223133,5902946,4891409,4241490,2300
13,7058363,7388476,7255183,7172691,8002232,8065647,7316470,7034997,7642988,7445952,7468463,7580088,7603616,7486384,6910565,6931710,7145851,6614855,6160854,6849856,6597925,5378542,4711401,2500
14,7343328,7754126,7608446,7810052,8502820,8632039,7677718,7555697,8035369,7844843,7940159,8091673,7894870,7685273,7101755,7236295,7073978,6795810,6379308,7335642,7064993,5520779,4920245,2700
15,7668720,8085843,7954323,8147440,8939413,9228497,8217452,7939521,8358571,8318362,8370657,8431290,8297335,7984169,7485089,7428178,7514925,7032614,6677934,8003596,7175028,5802132,5214386,2900
16,8223858,8744617,8720105,8666844,9630291,9844010,8954829,8793237,9119107,9095652,9013759,9238079,9126076,8812269,8050323,8109881,8195914,7669709,7452791,9214163,7637813,6391400,5747442,3100
17,8427298,8911307,8812116,8950157,9943734,10198088,9271096,9029939,9566079,9518719,9581986,9751622,9451565,9142371,8303339,8271805,8385490,7986609,7713048,10281611,8087782,6418545,5711753,3300
